display,fracttal_codebase,fracttal_nome,athon_sunop,axis,api_pv,thopen_pg,dois_c_owen,fontes
Altair 1 (73),ALT100,Thopen - Altair 1 - SP,,,Altair 1 (73),,,pv
Altair 2 (74),ALT100,Thopen - Altair 1 - SP,,,Altair 2 (74),,,pv
Altair 3 (75),ALT100,Thopen - Altair 1 - SP,,,Altair 3 (75),,,pv
Altair 4 (76),ALT100,Thopen - Altair 1 - SP,,,Altair 4 (76),,,pv
Altair 5 (77),ALT100,Thopen - Altair 1 - SP,,,Altair 5 (77),,,pv
Alto Paraná 1,APR100,Thopen - Alto Paraná 1 - PR,,,Alto Parana 1 (40),,,pv
Alto Paraná 2,APR200,Thopen - Alto Paraná 2 - PR,,,Alto Parana 2 (42),,,pv
(298) Aparecida 3,APR300,Thopen - Aparecida 3 - SP,,,,(298) Aparecida 3,,pg
(299) Araçoiaba da Serra 1,ADS100,Thopen - Araçoiaba da Serra 1- SP,,,,(299) Araçoiaba da Serra 1,,pg
(300) Araçoiaba da Serra 2,ADS200,Thopen - Araçoiaba da Serra 2 - SP,,,,(300) Araçoiaba da Serra 2,,pg
Araputanga,APG100,2C - Araputanga 1 - MT,,,,,ARA,owen
Barretos 1 (83),BRS100,Thopen - Barretos 1 - SP,,,Barretos 1 (83),,,pv
Barretos 2 (83),BRS100,Thopen - Barretos 1 - SP,,,Barretos 2 (83),,,pv
Belo Jardim,BJD100,Thopen - Belo Jardim  1 - PE,,,Belo Jardim (588),,,pv
(289) Boa Esperança do Sul 1,BES100,Thopen - Boa Esperança do Sul 1 e 2 - SP,,,,(289) Boa Esperança do Sul 1,,pg
Brodowski - Skid 1 (86),BWK100,Thopen - Brodowski 1 - SP,,,Brodowski - Skid 1 (86),,,pv
Brodowski - Skid 2 (86),BWK100,Thopen - Brodowski 1 - SP,,,Brodowski - Skid 2 (86),,,pv
(292) Caxambu,CXB100,Thopen - Caxambu 1 - SP,,,,(292) Caxambu,,pg
Ceilândia 1.1 (89),CLN100,Thopen - Ceilândia 1 - DF,,,Ceilândia 1.1 (89),,,pv
Ceilândia 1.2 (90),CLN100,Thopen - Ceilândia 1 - DF,,,Ceilândia 1.2 (90),,,pv
Ceilândia 1.3 (91),CLN100,Thopen - Ceilândia 1 - DF,,,Ceilândia 1.3 (91),,,pv
Ceilândia II - Atena (92),CLN200,Thopen - Ceilândia 2 - DF,,,Ceilândia II - Atena (92),,,pv
Ceilândia II - Cedro Rosa (10),CLN200,Thopen - Ceilândia 2 - DF,,,Ceilândia II - Cedro Rosa (10),,,pv
Ceilândia II - Pinheiro (93),CLN200,Thopen - Ceilândia 2 - DF,,,Ceilândia II - Pinheiro (93),,,pv
Ceilândia II - Pitangueira (94),CLN200,Thopen - Ceilândia 2 - DF,,,Ceilândia II - Pitangueira (94),,,pv
Céu Azul I (102),CAZ100,Thopen - Céu Azul 1 - PR,,,Céu Azul I (102),,,pv
Céu Azul II (103),CAZ100,Thopen - Céu Azul 1 - PR,,,Céu Azul II (103),,,pv
Céu Azul III (104),CAZ100,Thopen - Céu Azul 1 - PR,,,Céu Azul III (104),,,pv
Cidade Gaucha,CGH100,Thopen - Cidade Gaúcha 1 - PR,,,Cidade Gaúcha (105),,,pv
Colorado 1,CLR100,Thopen - Colorado 1 - PR,,,Colorado 1 (109),,,pv
Colorado 2,CLR200,Thopen - Colorado 2 - PR,,,Colorado 2 (110),,,pv
Coração 1,COR100,Thopen - Coração 1 - SC,,,Coração 1 (111),,,pv
Coração 2,,,,,Coração 2 (112),,,pv
Corrego Sapucaia 1 (113),CDS100,Thopen - Córrego do Sapucaia 1 - ES,,,Corrego Sapucaia 1 (113),,,pv
Corrego Sapucaia 2 (114),CDS100,Thopen - Córrego do Sapucaia 1 - ES,,,Corrego Sapucaia 2 (114),,,pv
